player_name,team,nationality,role,season,matches,runs,batting_avg,strike_rate,fifties,hundreds,dot_ball_pct,boundary_pct,six_pct,career_matches,career_runs,career_avg,career_sr,career_fifties,career_hundreds,seasons_played
Pat Cummins,KKR,Overseas,All-Rounder,2023,13,29,17.94,165.6,0,0,23.6,46.8,29.0,46,317,21.13,156.2,1,0,10
Pat Cummins,KKR,Overseas,All-Rounder,2024,9,32,20.19,167.0,0,0,27.9,41.6,14.9,46,317,21.13,156.2,1,0,10
Cameron Green,MI,Overseas,All-Rounder,2022,15,135,24.23,152.6,0,0,38.3,64.8,17.3,15,318,24.46,145.2,1,0,2
Cameron Green,MI,Overseas,All-Rounder,2023,15,128,26.15,146.5,0,0,32.6,54.0,19.0,15,318,24.46,145.2,1,0,2
Cameron Green,MI,Overseas,All-Rounder,2024,14,134,26.03,134.7,0,0,41.6,50.1,13.7,15,318,24.46,145.2,1,0,2
Shakib Al Hasan,KKR,Overseas,All-Rounder,2019,10,68,17.23,110.5,0,0,24.6,44.9,13.8,75,775,18.45,118.6,3,0,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2020,16,66,21.27,114.0,0,0,41.5,48.7,24.5,75,775,18.45,118.6,3,0,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2021,15,68,19.42,111.5,0,0,39.4,61.4,19.0,75,775,18.45,118.6,3,0,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2022,11,75,15.58,121.5,0,0,38.4,56.6,15.1,75,775,18.45,118.6,3,0,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2023,13,55,17.07,121.0,0,0,40.7,43.4,14.1,75,775,18.45,118.6,3,0,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2024,13,53,21.73,119.6,0,0,35.4,43.3,9.6,75,775,18.45,118.6,3,0,13
Deepak Hooda,LSG,Indian,All-Rounder,2019,14,187,27.19,149.1,0,0,42.4,47.6,26.7,87,1437,24.86,140.1,7,0,9
Deepak Hooda,LSG,Indian,All-Rounder,2020,8,140,29.58,129.6,0,0,37.7,48.8,24.6,87,1437,24.86,140.1,7,0,9
Deepak Hooda,LSG,Indian,All-Rounder,2021,13,170,29.69,149.0,0,0,21.0,56.3,13.1,87,1437,24.86,140.1,7,0,9
Deepak Hooda,LSG,Indian,All-Rounder,2022,11,190,22.8,135.5,0,0,22.5,60.0,23.9,87,1437,24.86,140.1,7,0,9
Deepak Hooda,LSG,Indian,All-Rounder,2023,13,194,24.69,129.2,0,0,21.9,60.8,17.1,87,1437,24.86,140.1,7,0,9
Deepak Hooda,LSG,Indian,All-Rounder,2024,15,139,26.7,129.1,0,0,29.6,47.5,28.2,87,1437,24.86,140.1,7,0,9
Matthew Wade,GT,Overseas,WK-Batter,2019,16,152,21.85,140.2,0,0,28.5,61.1,12.1,42,706,20.76,138.3,3,0,5
Matthew Wade,GT,Overseas,WK-Batter,2020,20,109,16.92,142.0,0,0,27.2,46.6,14.6,42,706,20.76,138.3,3,0,5
Matthew Wade,GT,Overseas,WK-Batter,2021,15,131,19.48,140.9,0,0,20.2,51.7,21.3,42,706,20.76,138.3,3,0,5
Matthew Wade,GT,Overseas,WK-Batter,2022,12,125,20.68,144.0,0,0,31.0,53.5,20.8,42,706,20.76,138.3,3,0,5
Matthew Wade,GT,Overseas,WK-Batter,2023,11,182,18.91,144.0,0,0,29.1,64.8,19.0,42,706,20.76,138.3,3,0,5
Matthew Wade,GT,Overseas,WK-Batter,2024,13,159,21.51,145.0,0,0,39.8,45.9,13.6,42,706,20.76,138.3,3,0,5
